customer_id,signup_date,customer_region,customer_country,segment
1,2023-03-28,APAC,Singapore,Returning
2,2025-01-23,APAC,South Korea,Returning
3,2024-09-29,EU,Italy,New
4,2024-03-03,NA,Canada,New
5,2024-02-26,EU,Poland,Returning
6,2025-04-16,NA,Mexico,Returning
7,2023-03-25,NA,United States,Returning
8,2024-11-10,EU,France,Returning
9,2023-07-16,APAC,India,New
10,2023-04-02,EU,France,New
11,2024-05-27,NA,United States,New
12,2025-08-08,EU,Netherlands,Returning
13,2024-12-17,EU,Germany,New
14,2025-01-11,APAC,India,New
15,2024-11-29,EU,Netherlands,New
16,2025-02-04,EU,Poland,New
17,2024-05-14,NA,Mexico,New
18,2023-05-05,APAC,Singapore,Returning
19,2025-03-28,NA,Mexico,Returning
20,2024-03-14,EU,France,New
21,2024-05-02,APAC,South Korea,New
22,2023-12-28,NA,United States,New
23,2023-06-27,EU,Germany,Returning
24,2025-06-21,NA,United States,Returning
25,2025-01-31,EU,Netherlands,New
26,2024-09-19,EU,Sweden,New
27,2024-01-27,EU,France,Returning
28,2025-03-12,EU,Germany,Returning
29,2024-06-15,NA,United States,VIP
30,2024-03-07,EU,Italy,New
31,2024-03-14,APAC,India,New
32,2023-08-10,EU,Germany,New
33,2023-03-31,APAC,Singapore,Returning
34,2024-06-24,EU,Netherlands,New
35,2025-05-14,APAC,South Korea,Returning
36,2023-03-04,EU,Spain,New
37,2025-04-15,EU,Poland,New
38,2025-03-17,EU,Sweden,New
39,2023-09-27,APAC,Singapore,VIP
40,2024-09-07,EU,Germany,Returning
41,2023-06-10,APAC,Japan,New
42,2025-01-08,EU,Sweden,New
43,2024-11-13,EU,Sweden,New
44,2023-12-12,NA,Mexico,New
45,2023-03-08,EU,Netherlands,New
46,2025-08-03,APAC,Japan,New
47,2024-03-10,EU,Italy,Returning
48,2025-05-19,EU,France,New
49,2024-10-22,EU,Spain,VIP
50,2025-01-28,EU,Spain,New
51,2025-01-10,NA,United States,New
52,2023-07-09,EU,Italy,New
53,2023-12-21,APAC,Singapore,Returning
54,2024-03-30,EU,Spain,Returning
55,2024-04-29,EU,Spain,Returning
56,2023-02-12,NA,Canada,New
57,2024-06-16,NA,Canada,Returning
58,2023-05-31,EU,Poland,New
59,2024-12-25,APAC,India,New
60,2024-10-27,EU,France,New
61,2025-06-17,NA,Canada,VIP
62,2024-12-26,EU,Germany,Returning
63,2023-12-24,EU,Poland,Returning
64,2025-07-31,NA,Mexico,Returning
65,2024-02-05,NA,United States,Returning
66,2023-11-14,EU,Italy,Returning
67,2025-05-31,APAC,Singapore,New
68,2023-12-27,EU,Spain,New
69,2023-03-16,EU,Spain,Returning
70,2024-04-02,EU,France,New
71,2025-02-13,NA,Canada,New
72,2023-07-04,APAC,South Korea,New
73,2024-03-26,EU,Poland,New
74,2023-05-07,NA,Canada,VIP
75,2024-10-30,EU,Sweden,Returning
76,2024-04-08,NA,Canada,New
77,2023-11-18,EU,Sweden,Returning
78,2023-08-10,EU,France,New
79,2024-07-03,NA,United States,New
80,2024-10-14,EU,France,New
81,2025-07-04,EU,Netherlands,New
82,2024-03-01,APAC,South Korea,New
83,2023-06-06,APAC,Singapore,New
84,2025-03-22,EU,Poland,Returning
85,2024-09-05,EU,Italy,New
86,2024-11-13,NA,Canada,New
87,2023-04-05,NA,Mexico,New
88,2023-11-01,APAC,Australia,New
89,2025-01-17,EU,Spain,Returning
90,2025-03-21,APAC,Singapore,Returning
91,2024-02-28,NA,United States,New
92,2025-02-22,NA,Mexico,New
93,2025-03-30,NA,Mexico,Returning
94,2024-01-13,EU,Poland,Returning
95,2025-05-24,EU,Netherlands,Returning
96,2023-10-08,NA,Mexico,Returning
97,2023-08-22,NA,Mexico,Returning
98,2024-10-26,EU,Italy,Returning
99,2024-09-12,EU,France,Returning
100,2023-05-17,EU,Sweden,Returning
101,2025-03-22,EU,Italy,Returning
102,2023-07-14,EU,Germany,Returning
103,2025-02-22,EU,Sweden,New
104,2023-01-08,EU,Netherlands,New
105,2025-02-15,EU,Poland,VIP
106,2025-02-05,EU,Germany,VIP
107,2025-01-30,APAC,Singapore,Returning
108,2024-10-09,NA,Mexico,New
109,2024-04-04,APAC,India,Returning
110,2024-11-17,APAC,Japan,New
111,2023-09-27,EU,Poland,New
112,2025-01-30,NA,Mexico,New
113,2024-06-25,EU,Spain,New
114,2024-03-22,EU,France,New
115,2024-05-07,EU,Netherlands,New
116,2024-07-07,APAC,Singapore,Returning
117,2023-02-06,EU,Spain,New
118,2023-05-17,NA,Canada,Returning
119,2023-08-28,EU,Poland,New
120,2023-04-22,EU,Italy,New
121,2024-03-04,EU,Italy,New
122,2024-10-13,EU,France,New
123,2024-09-29,EU,Sweden,New
124,2024-04-03,APAC,South Korea,New
125,2025-04-12,EU,Sweden,New
126,2024-07-04,APAC,India,New
127,2023-03-19,EU,Sweden,Returning
128,2025-01-15,EU,Germany,Returning
129,2024-07-13,EU,France,New
130,2024-09-10,APAC,South Korea,New
131,2024-07-04,NA,Canada,New
132,2024-06-23,APAC,Australia,New
133,2023-03-30,EU,Netherlands,Returning
134,2024-06-28,EU,Germany,New
135,2025-02-13,APAC,South Korea,New
136,2023-10-24,NA,Mexico,New
137,2024-08-10,NA,Mexico,Returning
