date,region,channel,spend,sessions
2023-01-01,EU,Paid Search,1308.99,4671
2023-01-01,EU,Social,807.36,4083
2023-01-01,EU,Email,349.3,640
2023-01-01,EU,Affiliate,362.84,1116
2023-01-01,EU,Direct,87.41,134
2023-01-01,NA,Paid Search,1483.21,4838
2023-01-01,NA,Social,839.6,2960
2023-01-01,NA,Email,211.44,161
2023-01-01,NA,Affiliate,304.63,670
2023-01-01,NA,Direct,80.1,111
2023-01-01,APAC,Paid Search,465.96,1593
2023-01-01,APAC,Social,525.26,3117
2023-01-01,APAC,Email,199.39,294
2023-01-01,APAC,Affiliate,273.08,893
2023-01-01,APAC,Direct,56.62,100
2023-01-02,EU,Paid Search,1204.91,3345
2023-01-02,EU,Social,1054.27,5391
2023-01-02,EU,Email,289.83,438
2023-01-02,EU,Affiliate,435.54,998
2023-01-02,EU,Direct,93.17,133
2023-01-02,NA,Paid Search,1039.07,3429
2023-01-02,NA,Social,536.72,1972
2023-01-02,NA,Email,213.15,519
2023-01-02,NA,Affiliate,308.01,715
2023-01-02,NA,Direct,88.23,147
2023-01-02,APAC,Paid Search,615.97,1778
2023-01-02,APAC,Social,529.79,1970
2023-01-02,APAC,Email,226.21,458
2023-01-02,APAC,Affiliate,191.36,583
2023-01-02,APAC,Direct,63.99,100
2023-01-03,EU,Paid Search,998.58,3720
2023-01-03,EU,Social,982.63,4712
2023-01-03,EU,Email,235.76,606
2023-01-03,EU,Affiliate,332.38,1111
2023-01-03,EU,Direct,108.15,178
2023-01-03,NA,Paid Search,820.84,3047
2023-01-03,NA,Social,732.0,2408
2023-01-03,NA,Email,214.28,489
2023-01-03,NA,Affiliate,278.85,712
2023-01-03,NA,Direct,50.0,100
2023-01-03,APAC,Paid Search,1144.36,3267
2023-01-03,APAC,Social,473.81,2437
2023-01-03,APAC,Email,144.9,262
2023-01-03,APAC,Affiliate,307.97,941
2023-01-03,APAC,Direct,50.0,100
2023-01-04,EU,Paid Search,1250.9,4094
2023-01-04,EU,Social,807.43,3366
2023-01-04,EU,Email,324.32,537
2023-01-04,EU,Affiliate,265.15,931
2023-01-04,EU,Direct,69.1,100
2023-01-04,NA,Paid Search,1087.65,3471
2023-01-04,NA,Social,700.83,1694
2023-01-04,NA,Email,256.91,408
2023-01-04,NA,Affiliate,368.53,1093
2023-01-04,NA,Direct,88.01,142
2023-01-04,APAC,Paid Search,727.39,2224
2023-01-04,APAC,Social,462.52,2380
2023-01-04,APAC,Email,109.92,160
2023-01-04,APAC,Affiliate,233.45,393
2023-01-04,APAC,Direct,57.27,100
2023-01-05,EU,Paid Search,1238.4,5545
2023-01-05,EU,Social,594.81,2567
2023-01-05,EU,Email,309.71,664
2023-01-05,EU,Affiliate,390.51,1062
2023-01-05,EU,Direct,83.72,106
2023-01-05,NA,Paid Search,991.61,4329
2023-01-05,NA,Social,757.94,2539
2023-01-05,NA,Email,187.83,284
2023-01-05,NA,Affiliate,235.12,723
2023-01-05,NA,Direct,59.18,100
2023-01-05,APAC,Paid Search,915.6,2964
2023-01-05,APAC,Social,530.91,2174
2023-01-05,APAC,Email,207.2,382
2023-01-05,APAC,Affiliate,127.44,375
2023-01-05,APAC,Direct,53.54,108
2023-01-06,EU,Paid Search,845.18,3300
2023-01-06,EU,Social,773.46,4784
2023-01-06,EU,Email,294.54,782
2023-01-06,EU,Affiliate,199.61,580
2023-01-06,EU,Direct,79.19,136
2023-01-06,NA,Paid Search,981.92,3854
2023-01-06,NA,Social,685.97,3427
2023-01-06,NA,Email,230.57,405
2023-01-06,NA,Affiliate,310.81,1159
2023-01-06,NA,Direct,84.08,135
2023-01-06,APAC,Paid Search,855.11,3132
2023-01-06,APAC,Social,506.65,2174
2023-01-06,APAC,Email,87.78,100
2023-01-06,APAC,Affiliate,294.2,687
2023-01-06,APAC,Direct,50.0,100
2023-01-07,EU,Paid Search,1052.36,3838
2023-01-07,EU,Social,666.97,3032
2023-01-07,EU,Email,246.77,611
2023-01-07,EU,Affiliate,329.95,1073
2023-01-07,EU,Direct,78.03,161
2023-01-07,NA,Paid Search,888.16,3263
2023-01-07,NA,Social,801.55,3162
2023-01-07,NA,Email,332.66,788
2023-01-07,NA,Affiliate,223.18,721
2023-01-07,NA,Direct,86.3,147
2023-01-07,APAC,Paid Search,564.52,1872
2023-01-07,APAC,Social,694.98,2588
2023-01-07,APAC,Email,146.1,238
2023-01-07,APAC,Affiliate,209.49,384
2023-01-07,APAC,Direct,50.0,100
2023-01-08,EU,Paid Search,1273.67,4078
2023-01-08,EU,Social,821.89,3385
2023-01-08,EU,Email,256.97,392
2023-01-08,EU,Affiliate,279.55,1034
2023-01-08,EU,Direct,87.93,148
2023-01-08,NA,Paid Search,917.5,4022
