return_id,order_id,return_date,reason_code,refund_amount
1,22,2023-01-26,Damaged,165.4
2,38,2023-01-09,Late Delivery,122.31
3,46,2023-01-08,Wrong Size,52.92
4,52,2023-01-19,Changed Mind,141.29
5,54,2023-01-12,Damaged,166.39
6,74,2023-01-24,Damaged,67.4
7,85,2023-01-16,Late Delivery,74.51
8,107,2023-01-12,Changed Mind,21.49
9,137,2023-01-28,Wrong Size,38.45
10,147,2023-01-20,Damaged,15.67
11,166,2023-01-21,Not as Described,28.99
12,170,2023-01-20,Changed Mind,14.79
13,173,2023-01-12,Wrong Size,102.34
14,187,2023-01-08,Damaged,87.96
15,189,2023-01-14,Not as Described,19.56
16,191,2023-01-25,Damaged,83.36
17,195,2023-01-19,Wrong Size,94.51
18,203,2023-01-18,Late Delivery,77.6
19,214,2023-01-14,Wrong Size,102.97
20,221,2023-01-24,Wrong Size,49.72
21,230,2023-01-27,Changed Mind,6.93
22,252,2023-01-15,Wrong Size,50.49
23,257,2023-01-09,Changed Mind,22.56
24,265,2023-01-14,Not as Described,15.59
25,289,2023-01-25,Damaged,22.15
26,313,2023-01-19,Wrong Size,147.83
27,337,2023-01-09,Wrong Size,84.4
28,343,2023-01-12,Not as Described,4.01
29,381,2023-01-07,Damaged,27.34
30,390,2023-01-18,Wrong Size,99.33
31,416,2023-01-10,Changed Mind,81.06
32,420,2023-01-28,Changed Mind,70.92
33,452,2023-01-20,Not as Described,50.81
34,457,2023-01-06,Wrong Size,8.43
35,476,2023-01-11,Damaged,82.37
36,490,2023-01-19,Damaged,122.74
37,511,2023-01-25,Wrong Size,21.77
38,513,2023-01-20,Damaged,32.69
39,523,2023-01-14,Damaged,28.39
40,549,2023-01-15,Wrong Size,42.56
41,570,2023-01-17,Damaged,31.07
42,598,2023-01-16,Wrong Size,38.22
43,601,2023-01-22,Late Delivery,30.99
44,607,2023-01-26,Not as Described,93.38
45,610,2023-01-17,Not as Described,76.42
46,623,2023-01-14,Damaged,17.75
47,627,2023-01-24,Damaged,152.68
48,685,2023-01-24,Damaged,48.13
49,687,2023-01-10,Damaged,105.01
50,703,2023-01-26,Wrong Size,92.7
51,734,2023-01-20,Late Delivery,40.78
52,745,2023-01-09,Damaged,113.39
53,756,2023-01-13,Not as Described,114.27
54,829,2023-01-07,Wrong Size,28.94
55,837,2023-01-23,Wrong Size,29.12
56,846,2023-01-17,Damaged,92.03
57,901,2023-01-21,Not as Described,38.67
58,910,2023-01-19,Wrong Size,31.91
59,925,2023-01-10,Wrong Size,204.19
60,937,2023-01-15,Late Delivery,48.61
61,977,2023-01-11,Wrong Size,28.65
62,991,2023-01-23,Not as Described,16.88
63,1007,2023-01-21,Wrong Size,34.36
64,1013,2023-01-24,Changed Mind,118.01
65,1017,2023-01-14,Damaged,38.11
66,1043,2023-01-23,Wrong Size,73.87
67,1045,2023-01-11,Wrong Size,87.87
68,1077,2023-01-30,Late Delivery,28.22
69,1079,2023-01-16,Not as Described,98.83
70,1082,2023-01-18,Not as Described,26.84
71,1107,2023-01-24,Late Delivery,59.26
72,1124,2023-01-20,Changed Mind,59.5
73,1162,2023-01-22,Late Delivery,74.02
74,1168,2023-01-07,Damaged,79.62
75,1169,2023-01-12,Wrong Size,30.6
76,1176,2023-01-09,Wrong Size,54.66
77,1197,2023-01-22,Wrong Size,29.2
78,1199,2023-01-28,Wrong Size,244.0
79,1231,2023-01-21,Wrong Size,24.97
80,1264,2023-01-14,Wrong Size,74.23
81,1289,2023-01-17,Changed Mind,13.19
82,1345,2023-01-15,Damaged,29.96
83,1349,2023-01-24,Wrong Size,113.57
84,1353,2023-01-20,Damaged,69.05
85,1368,2023-01-19,Wrong Size,52.92
86,1393,2023-01-15,Wrong Size,97.01
87,1395,2023-01-09,Wrong Size,100.42
88,1400,2023-01-15,Not as Described,98.09
89,1431,2023-01-25,Wrong Size,66.93
90,1445,2023-01-18,Changed Mind,83.43
91,1491,2023-01-12,Not as Described,277.71
92,1492,2023-01-29,Not as Described,25.03
93,1495,2023-01-16,Changed Mind,98.69
94,1528,2023-01-15,Damaged,104.04
